[19:13:32] building ChanPred model
[19:13:32] params=43104
[19:13:33] warmup done
[19:13:33] iter=500  elapsed=0.7s
[19:13:34] iter=1000  elapsed=1.4s
[19:13:35] iter=1500  elapsed=2.1s
[19:13:35] iter=2000  elapsed=2.8s
[19:13:36] iter=2500  elapsed=3.5s
[19:13:37] iter=3000  elapsed=4.2s
[19:13:37] iter=3500  elapsed=4.8s
[19:13:38] iter=4000  elapsed=5.5s
[19:13:39] iter=4500  elapsed=6.2s
[19:13:39] iter=5000  elapsed=6.9s
[19:13:40] iter=5500  elapsed=7.6s
[19:13:41] iter=6000  elapsed=8.3s
[19:13:42] iter=6500  elapsed=9.0s
[19:13:42] iter=7000  elapsed=9.6s
[19:13:43] iter=7500  elapsed=10.3s
[19:13:44] iter=8000  elapsed=11.0s
[19:13:44] iter=8500  elapsed=11.7s
[19:13:45] iter=9000  elapsed=12.4s
[19:13:46] iter=9500  elapsed=13.1s
[19:13:46] iter=10000  elapsed=13.8s
[19:13:47] iter=10500  elapsed=14.4s
[19:13:48] iter=11000  elapsed=15.1s
[19:13:48] iter=11500  elapsed=15.8s
[19:13:49] iter=12000  elapsed=16.5s
[19:13:50] iter=12500  elapsed=17.2s
[19:13:50] iter=13000  elapsed=17.9s
[19:13:51] iter=13500  elapsed=18.6s
[19:13:52] iter=14000  elapsed=19.3s
[19:13:53] iter=14500  elapsed=19.9s
[19:13:53] iter=15000  elapsed=20.6s
[19:13:54] iter=15500  elapsed=21.3s
[19:13:55] iter=16000  elapsed=22.0s
[19:13:55] iter=16500  elapsed=22.7s
[19:13:56] iter=17000  elapsed=23.4s
[19:13:57] iter=17500  elapsed=24.1s
[19:13:57] iter=18000  elapsed=24.8s
[19:13:58] iter=18500  elapsed=25.4s
[19:13:59] iter=19000  elapsed=26.1s
[19:13:59] iter=19500  elapsed=26.8s
