==WARNING== Could not deploy stock section files to "//Documents/NVIDIA Nsight Compute/2025.2.1/Sections".
Set the HOME environment variable to a writable directory.
==WARNING== Using "/opt/nvidia/nsight-compute/2025.2.1/target/linux-desktop-glibc_2_11_3-x64/../../sections" instead.
==WARNING== See https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#faq.
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_read.sum","Kbyte","3.71"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.18"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__sectors_op_atom.sum","","n/a"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__sectors_read.sum","sector","116"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__sectors_write.sum","sector","0"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.18"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__throughput.max.pct_of_peak_sustained_elapsed","%","0.51"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpc__cycles_elapsed.avg","cycle","7281.50"
"0","48","python3.10","127.0.0.1","void convert_kernel<__half2, float2>(tensor_layout_any, T1 *, tensor_layout_any, const T2 *)","1","7","(32, 32, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","us","5.18"
